FATP-QT,,,,,,,,,,,,Parametric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,Version,List of Failing Tests,2V4_DUT_Applied_Voltage,2V4_MCU_AID_Fall_Time,2V4_MCU_AID_Rise_Time,2V4_MCU_Bits_period,2V4_MCU_VOH,2V4_MCU_VOL,4V8_DUT_Applied_Voltage,4V8_MCU_AID_Fall_Time,4V8_MCU_AID_Rise_Time,4V8_MCU_Bits_period,4V8_MCU_VOH,4V8_MCU_VOL,5V_2P5A_Charge_Capability,5V_2P5A_Charge_Type,5V_2P5A_Charge_Voltage,5V_2P5A_CURR_USBC_PD [rpc] cyg_eload_SetEloadOn,5V_2P5A_CURR_USBC_PD,5V_2P5A_DCR,5V_2P5A_DUT_Input_Voltage,5V_2P5A_Orion_Power_Voltage,5W_5V_1P0A_BRICKID_CAPABILITY_Curr,5W_5V_1P0A_BRICKID_CAPABILITY_DM_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_DP_Vol,5W_5V_1P0A_BRICKID_CAPABILITY_Type,5W_5V_1P0A_BRICKID_CAPABILITY_Vol,5W_5V_1P0A_BRICKID_System_Curr,9V_2P5A_Charge_Capability,9V_2P5A_Charge_Type,9V_2P5A_Charge_Voltage,9V_2P5A_CURR_USBC_PD,9V_2P5A_DCR,9V_2P5A_DUT_Input_Voltage,9V_2P5A_Orion_Power_Voltage,10W_5V_1P5A_BRICKID_CAPABILITY_Curr,10W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,10W_5V_1P5A_BRICKID_CAPABILITY_Type,10W_5V_1P5A_BRICKID_CAPABILITY_Vol,10W_5V_1P5A_BRICKID_System_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_Curr,12.5W_5V_1P5A_BRICKID_CAPABILITY_DM_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_DP_Vol,12.5W_5V_1P5A_BRICKID_CAPABILITY_Type,12.5W_5V_1P5A_BRICKID_CAPABILITY_Vol,12.5W_5V_1P5A_BRICKID_System_Curr,CC_Rp _SYS_Curr-56kohm_5V,CC_Rp_Capability_CURR-10kohm_5V,CC_Rp_Capability_CURR-22kohm_5V,CC_Rp_Capability_CURR-56kohm_5V,CC_Rp_Capability_Type-10kohm_5V,CC_Rp_Capability_Type-22kohm_5V,CC_Rp_Capability_Type-56kohm_5V,CC_Rp_Capability_VOL-10kohm_5V,CC_Rp_Capability_VOL-22kohm_5V,CC_Rp_Capability_VOL-56kohm_5V,CC_Rp_SYS_CURR-10kohm_5V,CC_Rp_SYS_CURR-22kohm_5V,FW_VERSION_CCG3,FW_VERSION_L4R5,FW_VERSION_MTFW,GreenPAK ID,KBD_HW_Layout,MIX FW,OrionPWR_On_Sys Voltage,OrionPWR_SYS_CURRENT_ALL_RAILS,OrionPWR_SYS_CURRENT_BLC_ONLY,OrionPWR_SYS_CURRENT_CAPSLOCK_ONLY,OrionPWR_SYS_CURRENT_Energy_Storage,OrionPWR_SYS_CURRENT_Energy_Storage_ONLY,OrionPWR_SYS_CURRENT_IDLE,OrionPWR_SYS_CURRENT_LEDs_to_0PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_3P8PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_100PCT_brightness,OrionPWR_SYS_CURRENT_LEDs_to_UserMax_brightness,OrionPWR_SYS_CURRENT_MFI_ONLY,OrionPWR_SYS_CURRENT_TOUCH_ONLY,OrionPWR_SYS_CURRENT_USBC_AltPWR_ONLY,PHASE1_CONSUMER_DUT_MODE,PHASE2_C2P_DUT_MODE,PHASE2_SYS_CURRENT_pre_swap_consumer,PHASE2_SYS_CURRENT_pre_swap_provide,PHASE3_Vol_IDBUS_provider,PHASE5:P2C_DUT_MODE,PORION_RVP_OUT_-16V_CURR,PPORION_OVP_OUT_5V2_CURR,PPORION_OVP_OUT_16V_CURR,Production signed check,READ_HW_VERSION,Read_PHASE5_BROWNOUT_STATUS,SYS_IDBUS_6V_VBUS_0V_CURR,SYS_IDBUS_6V_VBUS_5V2_CURR,SYS_IDBUS_-5V2_VBUS_0V_CURR,USBC_PWR_On_Sys Voltage,USBC_PWR_SYS_CURRENT_ALL_RAILS,USBC_PWR_SYS_CURRENT_BLC_ONLY,USBC_PWR_SYS_CURRENT_CAPSLOCK_ONLY,USBC_PWR_SYS_CURRENT_Energy_Storage,USBC_PWR_SYS_CURRENT_Energy_Storage_ONLY,USBC_PWR_SYS_CURRENT_IDLE,USBC_PWR_SYS_CURRENT_LEDs_to_100PCT_brightness,USBC_PWR_SYS_CURRENT_MFI_ONLY,USBC_PWR_SYS_CURRENT_TOUCH_ONLY
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_5_QT1,FAIL,2019/12/5 14:07,2019/12/5 14:12,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.427937271,74,56.5,10.002,1.686306281,0.000943,4.81820766,54,58,10.004,1.915478408,0.002713,3000,6,5000,,2513.221979,0.148614136,5.082923361,4.709423049,1,1.806,0.902,4,5000,1010.467863,3000,6,9000,2508.333077,0.148665336,9.076127815,8.703225634,1500,0.902,1.806,4,5000,1519.066369,1500,1.806,1.806,4,5000,1510.422431,16.26938162,3000,1500,500,5,5,5,5000,5000,5000,16.25736654,16.24234769,258,624,1301,3,33,,4809.630815,8.909691879,2.66811193,18.50362939,2.701548658,0.386636698,0.117624676,2.672397322,16.49651868,220.9790045,81.27140095,0.161060652,3.472594221,3.083950161,5,4,117.0285467,121.5491992,2822.060896,5,-0.02214546,3.330072553,11.08018847,0,4,1,0.198752633,0.20477618,-36.38836175,9028.66278,10.18681143,8.109577438,15.39723683,6.364821471,7.374924966,7.305194582,131.0757581,7.330853579,9.328115411
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_2_QT1,FAIL,2019/12/5 14:57,2019/12/5 15:01,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.426870625,74,56.5,10.003,1.692815923,0.000052,4.813577422,51,54,10.004,1.907080249,0.000537,3000,6,5000,,2513.778079,0.152718,5.065581731,4.681682571,1,1.806,0.902,4,5000,1010.542513,3000,6,9000,2508.714971,0.152418707,9.035988765,8.653613673,1500,0.876,1.806,4,5000,1522.446892,1500,1.806,1.806,4,5000,1509.174094,16.34973633,3000,1500,500,5,5,5,5000,5000,5000,16.35525744,16.34045285,258,624,1301,3,33,,4806.317978,7.859642793,2.681331636,18.52463452,2.710311544,0.405455506,0.136407654,2.68202302,16.52177017,218.9177067,81.11384323,0.159196642,3.412097875,3.099349701,5,4,116.2166471,122.7123375,2821.987569,5,-0.021248019,3.324068394,11.06843791,0,4,1,0.199154188,0.205121743,-36.60127226,8984.848617,10.1912469,8.086108666,15.41495652,6.371347688,7.341890762,7.275432988,131.6790283,7.295728142,9.314506448
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_2_QT1,FAIL,2019/12/5 15:03,2019/12/5 15:07,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.426863157,72,57.5,10,1.684399302,0.000385,4.813569954,52,56,9.998,1.903095966,0.002436,3000,6,5000,,2513.800263,0.152475999,5.065611605,4.682317399,1,1.806,0.902,4,5000,1010.63891,3000,6,9000,2512.290552,0.15227311,9.036167969,8.653613673,1500,0.876,1.806,4,5000,1521.574578,1500,1.806,1.806,4,5000,1510.647184,16.36549821,3000,1500,500,5,5,5,5000,5000,5000,16.37751999,16.37157589,258,624,1301,3,33,,4806.273166,8.948320353,2.680312754,18.52234203,2.719367462,0.401287794,0.135924898,2.680193885,16.52550365,218.8896755,81.12198701,0.160916612,3.438872632,3.101011448,5,4,116.1759257,122.0691798,2821.972632,5,-0.021276293,3.324393431,11.06969379,0,4,1,0.199195037,0.205221943,-36.58913428,8984.953152,10.1658913,8.088832962,15.42190675,6.362590157,7.338378046,7.276987996,131.665641,7.296616025,9.109354611
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_2_QT1,FAIL,2019/12/5 15:08,2019/12/5 15:12,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage;CB Error Could not set FAIL CB,2.426863157,73,56.5,10,1.681167564,0.000623,4.813547548,50,52,9.998,1.904277487,0.001525,3000,6,5000,,2513.856681,0.152053672,5.065566793,4.683325655,1,1.806,0.876,4,5000,1010.537816,3000,6,9000,2508.765464,0.152112058,9.0360709,8.654457422,1500,0.876,1.806,4,5000,1514.328364,1500,1.806,1.806,4,5000,1510.767669,16.34096488,3000,1500,500,5,5,5,5000,5000,5000,16.3347759,16.34474952,258,624,1301,3,33,,4806.295572,8.950578874,2.69726258,18.5461499,2.717581993,0.399895323,0.138430862,2.684228171,16.54270334,218.9512355,81.14122446,0.182866235,3.457610352,3.08468023,5,4,116.7601689,122.2775034,2821.890478,5,-0.021100243,3.323493976,11.06887503,0,4,1,0.199297069,0.205195931,-36.59214818,8985.042754,10.16757246,8.09025697,15.41010713,6.3728469,7.348870102,7.278157284,131.7149613,7.299143822,9.319074434
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_2_QT1,FAIL,2019/12/5 15:14,2019/12/5 15:18,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage;CB Error Could not set FAIL CB,2.426855688,75,55.5,9.997,1.688390918,0.000589,4.813525142,51,54,10.002,1.905188769,0.001907,3000,6,5000,,2513.781309,0.151636342,5.065626542,4.68444594,1,1.806,0.902,4,5000,1010.062911,3000,6,9000,2508.82696,0.151614278,9.036160502,8.655786513,1500,0.876,1.806,4,5000,1521.627853,1500,1.806,1.806,4,5000,1510.77348,16.35214068,3000,1500,500,5,5,5,5000,5000,5000,16.34448237,16.34221159,258,624,1301,3,33,,4806.243292,8.097039812,2.695603258,18.52362291,2.719408702,0.412240773,0.135265051,2.698434294,16.51951893,218.8594536,81.1247768,0.158325741,3.476532441,3.103131693,5,4,116.7623793,122.1629834,2821.860604,5,-0.021126073,3.323882339,11.06936707,0,4,1,0.199186916,0.205136336,-36.59500685,8984.975552,9.756786028,8.096860294,15.42169327,6.375420789,7.343363289,7.277630862,131.6921777,7.308005667,9.374169251
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_2_QT1,FAIL,2019/12/5 15:19,2019/12/5 15:23,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage;CB Error Could not set FAIL CB,2.426840751,70,54.5,10.001,1.684296613,0.000505,4.813510205,54,56,10,1.903648622,0.002051,3000,6,5000,,2513.824229,0.151434696,5.065708696,4.685028488,1,1.806,0.902,4,5000,1010.628313,3000,6,9000,2510.840978,0.151320182,9.036175435,8.656234522,1500,0.876,1.806,4,5000,1511.967376,1500,1.806,1.806,4,5000,1510.814844,16.36349458,3000,1500,500,5,5,5,5000,5000,5000,16.35697166,16.33212665,258,624,1301,3,33,,4806.265698,7.929724875,2.682845403,18.53853255,2.71664074,0.400771076,0.134728925,2.683449455,16.53862054,218.938906,81.13641874,0.177121683,3.440439769,3.057536735,5,4,116.4327151,121.7013711,2821.972632,5,-0.021001256,3.323431771,11.07007206,0,4,1,0.199250541,0.205219195,-36.59435901,8985.080088,10.15978044,8.083292186,15.41234624,6.371301596,7.344510744,7.2768667,131.6548352,7.296041084,9.319661504
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_2_QT1,FAIL,2019/12/5 15:24,2019/12/5 15:28,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.426818345,72,56.5,9.998,1.682126047,0.000702,4.813465394,52,55,9.998,1.903164342,0.002811,3000,6,5000,,2513.839375,0.158192762,5.065701228,4.668030035,1,1.806,0.902,4,5000,1009.111454,3000,6,9000,2508.916431,0.156686111,9.036324771,8.643212413,1500,0.876,1.806,4,5000,1520.595048,1500,1.806,1.806,4,5000,1509.363771,16.367346,3000,1500,500,5,5,5,5000,5000,5000,16.34045285,16.33954008,258,624,1301,3,33,,4806.213418,8.946602809,2.68218313,18.52680813,2.712029087,0.394691748,0.148949603,2.684254856,16.5349938,218.9360384,81.13301761,0.159308234,3.47484886,3.101365631,5,4,116.4476563,122.0140158,2822.316186,5,-0.021060489,3.323200883,11.07000986,0,4,1,0.199283208,0.205263403,-36.58538007,8985.177156,10.16434842,8.086414331,15.41308129,6.366619592,7.339748685,7.277123847,131.6625065,7.298772658,9.321721101
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_2_QT1,FAIL,2019/12/5 15:29,2019/12/5 15:33,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.42679594,73,54.5,10.002,1.68239781,0.000058,4.8134878,52,52,10.001,1.904980267,0.0019,3000,6,5000,,2513.238671,0.157220198,5.065746039,4.670614158,1,1.806,0.876,4,5000,1010.600218,3000,6,9000,2510.856168,0.159027378,9.03623517,8.636940297,1500,0.876,1.806,4,5000,1521.35714,1500,1.806,1.806,4,5000,1510.857699,16.35102756,3000,1500,500,5,5,5,5000,5000,5000,16.35133923,16.34098715,258,624,1301,3,33,,4806.243292,9.004021647,2.699797655,18.52342156,2.726499634,0.41403352,0.134855073,2.699302769,16.51357303,218.9635334,81.11513139,0.176362374,3.457049967,3.084879154,5,4,115.7185254,121.8248113,2822.390872,5,-0.021042536,3.323360039,11.06941414,0,4,1,0.199179162,0.205228721,-36.57452039,8985.02782,10.1672862,8.085555559,15.41618403,6.366527407,7.341716097,7.285903211,131.6484618,7.295407922,9.315132332
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_2_QT1,FAIL,2019/12/5 15:35,2019/12/5 15:40,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.426855688,73,55.5,9.988,1.68919074,0.000751,4.813577422,51,54,9.997,1.904594179,0.002056,3000,6,5000,,2513.803426,0.155568641,5.065663885,4.674594903,1,1.806,0.902,4,5000,1009.358235,3000,6,9000,2510.786542,0.154624482,9.036130635,8.647901567,1500,0.876,1.806,4,5000,1521.511842,1500,1.806,1.806,4,5000,1510.757874,16.36422925,3000,1500,500,5,5,5,5000,5000,5000,16.33506531,16.33971818,258,624,1301,3,33,,4806.310509,8.948999607,2.698465831,18.53857379,2.710566264,0.398151094,0.150853942,2.685268886,16.51946071,218.9145965,81.11514352,0.175797137,3.438423838,3.093529945,5,4,115.8111015,122.7638812,2822.234032,5,-0.02117639,3.324369894,11.07004964,0,4,1,0.199191923,0.205180178,-36.56449124,8984.86355,10.14929081,8.08849576,15.41322685,6.386878357,7.337866179,7.280170788,131.6382673,7.300689126,9.343491207
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_2_QT1,FAIL,2019/12/5 15:41,2019/12/5 15:46,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.426825814,73,56.5,9.998,1.681922575,0.000151,4.813525142,53,54,9.998,1.908400305,0.000071,3000,6,5000,,2513.633282,0.152967466,5.065648948,4.681144834,1,1.806,0.902,4,5000,1009.400155,3000,6,9000,2508.85714,0.152710664,9.036100767,8.652971528,1500,0.876,1.806,4,5000,1523.288194,1500,1.806,1.806,4,5000,1510.282234,16.35047099,3000,1500,500,5,5,5,5000,5000,5000,16.33684631,16.34541739,258,624,1301,3,33,,4806.310509,8.948732757,2.696833194,18.52359865,2.713967388,0.422211259,0.134709518,2.683995284,16.5362674,218.8769118,81.1384468,0.161365405,2.222204119,3.115996288,5,4,115.9206259,122.7618348,2822.166815,5,-0.021089739,3.325387594,11.07025083,0,4,1,0.199288704,0.205261754,-36.56806107,8984.915818,10.16261633,8.083767664,15.41593659,6.364654606,7.327398383,7.275173416,131.650638,7.29413432,9.345364009
FXLH,R118,FTPZQ01NPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_2_QT1,FAIL,2019/12/5 15:47,2019/12/5 15:51,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.4269005,70,53.5,9.998,1.681122989,0.000624,4.813525142,50,57,9.997,1.904891374,0.002188,3000,6,5000,,2513.83561,0.152233205,5.065671353,4.682982101,1,1.806,0.902,4,5000,1010.172688,3000,6,9000,2508.855715,0.152160157,9.036108234,8.654360353,1500,0.876,1.806,4,5000,1512.370172,1500,1.806,1.806,4,5000,1509.309472,16.35327607,3000,1500,500,5,5,5,5000,5000,5000,16.34336924,16.34221159,258,624,1301,3,33,,4806.295572,8.466081202,2.683306326,18.52400621,2.717625659,0.389342619,0.13358147,2.698133481,16.51919871,218.9092736,81.10878764,0.162122289,3.439534905,3.060251327,5,4,116.3739059,122.7668174,2822.248969,5,-0.021122165,3.32521723,11.06948083,0,4,1,0.199221415,0.205170347,-36.57150145,8985.117422,9.716790068,8.089555883,15.41326566,6.364923882,7.337647848,7.278271302,131.6045372,7.305725313,9.315998382
FXLH,R118,FTPZQ01PPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_5_QT1,FAIL,2019/12/5 11:50,2019/12/5 11:55,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage;CB Error Could not set FAIL CB,2.427959704,75,56.5,10.012,1.705639941,0.000944,4.818192705,51,59,10.019,1.919031448,0.002743,3000,6,5000,,2513.201722,0.141054991,5.08299066,4.728491014,1,1.78,0.876,4,5000,1010.381844,3000,6,9000,2507.186702,0.141228064,9.076352094,8.722266971,1500,0.876,1.78,4,5000,1520.3308,1500,1.78,1.78,4,5000,1509.713942,16.43643572,3000,1500,500,5,5,5,5000,5000,5000,16.43434421,16.43214144,258,624,1301,3,33,,4809.428919,8.944280594,2.686381233,18.88739145,2.723249669,0.366398104,0.117064447,2.689078095,16.58788459,221.533933,81.39465629,0.142238396,3.490274191,3.005088764,5,4,116.8054746,123.2894401,2825.93431,5,-0.021978097,3.325274831,11.04690673,0,4,1,0.198584715,0.20451932,-36.27179672,9028.498308,10.26138258,8.172667526,15.56326848,6.483805972,7.428641517,7.367666235,131.3995632,7.379125475,9.194608598
FXLH,R118,FTPZQ01PPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_5_QT1,FAIL,2019/12/5 11:55,2019/12/5 12:00,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.427937271,77,55.5,10.011,1.703952851,0.001044,4.818237571,56,57,10.011,1.916787232,0.003034,3000,6,5000,,2513.277851,0.140916832,5.083028048,4.728864896,1,1.78,0.876,4,5000,1010.587391,3000,6,9000,2508.266476,0.141054007,9.076456758,8.722655722,1500,0.876,1.78,4,5000,1518.493227,1500,1.78,1.78,4,5000,1509.913014,16.43850498,3000,1500,500,5,5,5,5000,5000,5000,16.46306914,16.43915024,258,624,1301,3,33,,4809.593426,8.968663916,2.689366698,18.88596299,2.722805851,0.380913141,0.119332042,2.692779005,16.5965063,221.5660162,81.39553665,0.16130075,3.539601065,3.022140597,5,4,117.8056266,123.315067,2825.949265,5,-0.021408707,3.324104285,11.04967184,0,4,1,0.198933816,0.204856196,-36.27134689,9028.864631,10.2893795,8.187691863,15.56626365,6.487921597,7.430562304,7.377541796,131.4259879,7.384136012,9.442552594
FXLH,R118,FTPZQ01PPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_5_QT1,FAIL,2019/12/5 12:03,2019/12/5 12:07,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.427922315,74,56.5,10.006,1.705716001,0.001031,4.818215138,54,57,10.013,1.918885268,0.002798,3000,6,5000,,2513.287022,0.140714001,5.08299066,4.729335987,1,1.78,0.876,4,5000,1009.541723,3000,6,9000,2509.251758,0.140846673,9.076307238,8.722887477,1500,0.876,1.78,4,5000,1519.868865,1500,1.78,1.78,4,5000,1510.42123,16.4411305,3000,1500,500,5,5,5,5000,5000,5000,16.45924212,16.45098731,258,624,1301,3,33,,4809.436396,8.990151507,2.687581724,18.89800186,2.732703239,0.383086152,0.116363554,2.687550196,16.58221439,221.4378145,81.3998948,0.141047605,3.523994671,3.014515656,5,4,117.6223629,123.2790013,2825.754846,5,-0.021894476,3.3161365,11.04729878,0,4,1,0.198459892,0.204513085,-36.26449577,9028.58802,10.18588256,8.171003814,15.56126039,6.456691834,7.42096322,7.363252306,131.4619105,7.392992974,9.430419139
FXLH,R118,FTPZQ01PPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_5_QT1,FAIL,2019/12/5 12:07,2019/12/5 12:12,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.427952226,77,58.5,10.01,1.704554345,0.000763,4.818245048,52,56,10.013,1.918616125,0.002959,3000,6,5000,,2513.34463,0.140660198,5.083110302,4.729582749,1,1.78,0.876,4,5000,1010.592152,3000,6,9000,2507.350956,0.140828219,9.076464234,8.723358465,1500,0.876,1.78,4,5000,1513.064481,1500,1.78,1.78,4,5000,1509.907897,16.42114987,3000,1500,500,5,5,5,5000,5000,5000,16.43545671,16.45114307,258,624,1301,3,33,,4809.578471,8.947363069,2.69061812,18.90448937,2.740085657,0.403863149,0.122664317,2.694879259,16.5828595,221.5025896,81.39950191,0.144365328,2.675373087,3.030112348,5,4,120.6010266,122.2128604,2825.732414,5,-0.021317813,3.324002206,11.0509669,0,4,1,0.19903101,0.204852834,-36.2694472,9028.909487,10.26406004,8.179948084,15.60902541,6.480236025,7.430632636,7.366288701,131.4793054,7.382719675,9.348897258
FXLH,R118,FTPZQ01PPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_5_QT1,FAIL,2019/12/5 12:12,2019/12/5 12:17,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.427974659,77,55.5,10.018,1.694983681,0.001293,4.818274959,53,61,10.009,1.91763492,0.002835,3000,6,5000,,2513.359054,0.140596912,5.083050481,4.729679958,1,1.78,0.876,4,5000,1010.580248,3000,6,9000,2507.385792,0.140766631,9.076449282,8.723493032,1500,0.876,1.78,4,5000,1511.527507,1500,1.78,1.78,4,5000,1509.827574,16.43556796,3000,1500,500,5,5,5,5000,5000,5000,16.4643819,16.44382277,258,624,1301,3,33,,4809.668203,8.916514068,2.689635899,18.88746906,2.720618288,0.391775773,0.121606914,2.692956047,16.58341973,221.5810876,81.40158519,0.146092096,3.529315639,3.012328093,5,4,117.9080784,123.2830234,2825.717458,5,-0.021282238,3.324768922,11.05126977,0,4,1,0.198984981,0.204971545,-36.26874105,9029.036579,10.28203832,8.170836473,15.56512379,6.485021015,7.425617248,7.363126193,131.4598659,7.378436708,9.461289967
FXLH,R118,FTPZQ01PPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_5_QT1,FAIL,2019/12/5 12:23,2019/12/5 12:28,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.427937271,74,56.5,10.013,1.705244429,0.001394,4.818162794,56,55,10.006,1.918460968,0.002062,3000,6,5000,,2513.136746,0.140588521,5.082833629,4.72951545,1,1.78,0.876,4,5000,1010.452622,3000,6,9000,2508.150926,0.140711766,9.076187623,8.723261277,1500,0.876,1.78,4,5000,1520.452397,1500,1.78,1.78,4,5000,1510.364225,16.42057136,3000,1500,500,5,5,5,5000,5000,5000,16.43559021,16.45189957,258,624,1301,3,33,,4809.301799,8.733243838,2.6842446,18.88019578,2.71282358,0.364792597,0.118956131,2.701682046,16.58630091,221.4776444,81.40517211,0.14305085,3.530802309,3.012376598,5,4,117.9736744,122.5758866,2825.463219,5,-0.021799609,3.314346188,11.04688766,0,4,1,0.198489967,0.204437164,-36.26457317,9028.2516,10.01623973,8.174898743,15.56484004,6.471936867,7.418809611,7.365005751,131.4519106,7.381400346,9.446040084
FXLH,R118,FTPZQ01PPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_5_QT1,FAIL,2019/12/5 12:28,2019/12/5 12:33,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.427974659,76,56.5,10.012,1.696564257,0.000978,4.818260004,54,58,10.006,1.916992536,0.002534,3000,6,5000,,2513.338776,0.140467139,5.083043003,4.730001496,1,1.78,0.876,4,5000,1010.530364,3000,6,9000,2508.258307,0.1405895,9.076449282,8.7238145,1500,0.876,1.78,4,5000,1518.134533,1500,1.78,1.78,4,5000,1509.893412,16.44362252,3000,1500,500,5,5,5,5000,5000,5000,16.46273539,16.45230007,258,624,1301,3,33,,4809.615859,8.947969378,2.692538907,18.8994667,2.723450964,0.372691591,0.138893995,2.696302873,16.58565337,221.5210954,81.40580995,0.144581174,3.529412648,3.017923112,5,4,117.0206381,122.5809556,2825.418353,5,-0.021266712,3.316210536,11.05073077,0,4,1,0.198905881,0.204961031,-36.26379467,9028.834727,10.27714176,8.171127501,15.56750295,6.483269995,7.420548505,7.366007374,131.4847723,7.392512777,9.441560673
FXLH,R118,FTPZQ01PPPHF,R118-EVT,R118-EVT_E1AEN-LHWTE1,,FXLH_F05-4FT-02_5_QT1,FAIL,2019/12/5 12:33,2019/12/5 12:37,V1.2.1.0,USBC_PWR_SYS_CURRENT_Energy_Storage,2.427944748,74,57.5,10.009,1.705008082,0.000965,4.818245048,53,58,10.013,1.918864381,0.003002,3000,6,5000,,2512.976254,0.140410037,5.082960749,4.730113661,1,1.78,0.876,4,5000,1010.616983,3000,6,9000,2510.299144,0.140475203,9.076419378,8.723784596,1500,0.876,1.78,4,5000,1517.024428,1500,1.78,1.78,4,5000,1510.50607,16.44417877,3000,1500,500,5,5,5,5000,5000,5000,16.46266864,16.45550409,258,624,1301,3,33,,4809.630815,8.963738262,2.691146821,18.90055806,2.718079066,0.378141096,0.136878624,2.695698989,16.59592182,221.5669548,81.39538871,0.149598987,3.53575464,3.019147856,5,4,117.8176852,122.7138181,2825.403398,5,-0.021222212,3.314446585,11.05116376,0,4,1,0.199015972,0.204925638,-36.26266282,9028.969295,10.26496223,8.183144545,15.57127419,6.488445448,7.429999649,7.366916837,131.4662034,7.37979969,9.441909907
